Id Documento;Empresa;Sucursal;Área;Número de Factura;CUIT;Razón Social que Factura;Tipo de Documento;Fecha de Factura;Importe Total;Moneda;Descripción;Cuenta Personal
200000;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000000;30709988464;PROVEEDOR TEST 0;Factura;02/01/2026;1000.50;Pesos;Descripcion de prueba 0;SISTEMAS - LICENCIAS SISTEMAS - ST07
200001;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000001;30709988464;PROVEEDOR TEST 1;Factura;02/01/2026;1001.50;Pesos;Descripcion de prueba 1;SISTEMAS - LICENCIAS SISTEMAS - ST07
200002;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000002;30709988464;PROVEEDOR TEST 2;Factura;02/01/2026;1002.50;Pesos;Descripcion de prueba 2;SISTEMAS - LICENCIAS SISTEMAS - ST07
200003;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000003;30709988464;PROVEEDOR TEST 3;Factura;02/01/2026;1003.50;Pesos;Descripcion de prueba 3;SISTEMAS - LICENCIAS SISTEMAS - ST07
200004;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000004;30709988464;PROVEEDOR TEST 4;Factura;02/01/2026;1004.50;Pesos;Descripcion de prueba 4;SISTEMAS - LICENCIAS SISTEMAS - ST07
200005;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000005;30709988464;PROVEEDOR TEST 5;Factura;02/01/2026;1005.50;Pesos;Descripcion de prueba 5;SISTEMAS - LICENCIAS SISTEMAS - ST07
200006;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000006;30709988464;PROVEEDOR TEST 6;Factura;02/01/2026;1006.50;Pesos;Descripcion de prueba 6;SISTEMAS - LICENCIAS SISTEMAS - ST07
200007;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000007;30709988464;PROVEEDOR TEST 7;Factura;02/01/2026;1007.50;Pesos;Descripcion de prueba 7;SISTEMAS - LICENCIAS SISTEMAS - ST07
200008;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000008;30709988464;PROVEEDOR TEST 8;Factura;02/01/2026;1008.50;Pesos;Descripcion de prueba 8;SISTEMAS - LICENCIAS SISTEMAS - ST07
200009;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000009;30709988464;PROVEEDOR TEST 9;Factura;02/01/2026;1009.50;Pesos;Descripcion de prueba 9;SISTEMAS - LICENCIAS SISTEMAS - ST07
200010;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000010;30709988464;PROVEEDOR TEST 10;Factura;02/01/2026;1010.50;Pesos;Descripcion de prueba 10;SISTEMAS - LICENCIAS SISTEMAS - ST07
200011;TAGLE;Cordoba;Sistemas Aplicaciones Negocio;00001-00000011;30709988464;PROVEEDOR TEST 11;Factura;02/01/2026;1011.50;Pesos;Descripcion de prueba 11;SISTEMAS - LICENCIAS SISTEMAS - ST07
